edge_count,control,size
3,False,3
5,False,2
4,False,4
5,False,2
3,False,3
6,False,1
4,False,4
5,False,2
5,False,2
3,False,3
6,False,1
0,False,5
6,False,2
3,False,3
5,False,2
5,False,2
4,False,4
0,False,5
3,False,3
5,False,2
2,False,4
5,False,2
0,False,5
5,False,2
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
6,True,1
