mean_RCQ,mean_error_RCQ,mean_WWD,mean_error_WWD,mean_RD,mean_WSP,mean_SQ,mean_error_SQ,skill_diversity,skill_coverage,day_coverage,size,Faulty
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,False True
,,,,,,,,,,,,
3.333333333333333,0.4444444444444445,5.0,0.0,4.0,0.1538461538461538,4.666666666666667,0.4444444444444443,0.8571428571428571,12.0,0.7472527472527473,3.0,True
3.0,0.6666666666666666,4.641025641025641,0.2393162393162393,9.333333333333334,0.2307692307692307,3.0,0.6666666666666666,0.7777777777777778,7.0,0.7362637362637363,3.0,True
3.0,1.0,4.615384615384615,0.3846153846153846,12.666666666666666,0.2307692307692307,2.75,0.75,0.9090909090909092,10.0,0.7472527472527473,4.0,True
3.75,0.375,4.615384615384615,0.3846153846153846,13.0,0.2307692307692307,3.5,1.5,0.8571428571428571,12.0,0.7472527472527473,4.0,True
3.0,0.0,4.5,0.5,15.0,0.2307692307692307,1.5,0.5,1.0,3.0,0.7252747252747253,2.0,True
4.0,0.0,5.0,0.0,6.0,0.1153846153846153,5.0,0.0,0.8,8.0,0.7472527472527473,2.0,True
3.333333333333333,0.8888888888888888,4.487179487179487,0.3418803418803418,14.666666666666666,0.2307692307692307,3.0,1.3333333333333333,0.8888888888888888,8.0,0.7362637362637363,3.0,True
3.5,0.5,5.0,0.0,6.0,0.1153846153846153,3.0,1.0,1.0,6.0,0.7472527472527473,2.0,True
3.6666666666666665,0.4444444444444445,5.0,0.0,0.0,0.2307692307692307,2.0,1.3333333333333333,0.6666666666666666,4.0,0.7142857142857143,3.0,True
3.8,0.3200000000000001,4.6,0.4800000000000001,11.6,0.2307692307692307,2.6,1.52,0.6923076923076923,9.0,0.7472527472527473,5.0,True
3.6,0.48,4.692307692307692,0.3692307692307693,11.4,0.2307692307692307,3.2,1.04,0.6875,11.0,0.7472527472527473,5.0,True
4.0,0.0,4.230769230769231,0.2307692307692308,16.0,0.2307692307692307,3.0,2.0,1.0,6.0,0.6923076923076923,2.0,True
4.0,0.0,4.5,0.5,15.0,0.2307692307692307,3.25,1.25,0.8461538461538461,11.0,0.7362637362637363,4.0,True
4.0,0.0,5.0,0.0,,0.2307692307692307,1.0,0.0,1.0,1.0,0.7142857142857143,1.0,True
2.0,0.0,4.461538461538462,0.0,,0.2307692307692307,2.0,0.0,1.0,2.0,0.6373626373626373,1.0,True
3.4,0.9600000000000002,5.0,0.0,4.2,0.2307692307692307,3.0,0.4,0.6,9.0,0.7472527472527473,5.0,True
3.25,0.75,4.75,0.375,11.833333333333334,0.173076923076923,2.75,0.75,0.9090909090909092,10.0,0.7472527472527473,4.0,True
3.6666666666666665,0.4444444444444445,5.0,0.0,2.6666666666666665,0.2307692307692307,2.0,0.0,1.0,6.0,0.7362637362637363,3.0,True
4.0,0.0,4.230769230769231,0.2307692307692308,18.0,0.2307692307692307,3.5,1.5,1.0,7.0,0.7032967032967034,2.0,True
3.5,0.5,5.0,0.0,2.0,0.2307692307692307,4.0,0.0,1.0,8.0,0.7252747252747253,2.0,True
3.0,0.8888888888888888,4.829059829059829,0.2659069325735994,7.777777777777778,0.2307692307692307,3.4444444444444446,0.6172839506172839,0.4838709677419355,15.0,0.7472527472527473,9.0,True
4.0,0.0,4.461538461538462,0.0,,0.2307692307692307,3.0,0.0,1.0,3.0,0.6373626373626373,1.0,True
3.0,0.6666666666666666,5.0,0.0,2.0,0.2307692307692307,2.0,1.3333333333333333,0.8333333333333334,5.0,0.7252747252747253,3.0,True
4.0,0.0,4.865384615384615,0.2019230769230771,7.5,0.2307692307692307,4.0,1.0,0.625,10.0,0.7472527472527473,4.0,True
3.0,1.0,4.615384615384615,0.3846153846153846,13.666666666666666,0.2307692307692307,2.5,1.25,0.9,9.0,0.7472527472527473,4.0,True
4.0,0.0,4.82051282051282,0.2393162393162393,8.666666666666666,0.2307692307692307,2.0,0.6666666666666666,1.0,6.0,0.7472527472527473,3.0,True
3.333333333333333,0.4444444444444445,4.666666666666667,0.4444444444444443,11.333333333333334,0.2307692307692307,2.6666666666666665,0.8888888888888888,0.75,6.0,0.7362637362637363,3.0,True
4.0,0.0,4.730769230769231,0.2692307692307691,9.0,0.2307692307692307,3.0,2.0,1.0,6.0,0.7252747252747253,2.0,True
3.1666666666666665,0.8333333333333334,5.0,0.0,1.8666666666666667,0.2307692307692308,2.6666666666666665,1.1111111111111114,0.5625,9.0,0.7362637362637363,6.0,True
3.1666666666666665,0.8333333333333334,4.5,0.5,13.266666666666667,0.2307692307692308,3.6666666666666665,0.777777777777778,0.6363636363636364,14.0,0.7362637362637363,6.0,True
3.6666666666666665,0.4444444444444445,5.0,0.0,4.666666666666667,0.1538461538461538,2.6666666666666665,1.5555555555555554,0.875,7.0,0.7472527472527473,3.0,True
4.0,0.0,4.82051282051282,0.2393162393162393,7.333333333333333,0.2307692307692307,4.0,1.3333333333333333,0.75,9.0,0.7362637362637363,3.0,True
3.5,0.5,4.487179487179486,0.3418803418803415,13.866666666666667,0.2307692307692308,3.333333333333333,1.222222222222222,0.6,12.0,0.7472527472527473,6.0,True
3.5,0.5,5.0,0.0,6.0,0.1153846153846153,4.5,0.5,0.8888888888888888,8.0,0.7472527472527473,2.0,True
4.0,0.0,5.0,0.0,2.6666666666666665,0.2307692307692307,3.6666666666666665,1.1111111111111112,0.7272727272727273,8.0,0.7362637362637363,3.0,True
3.5,0.5,5.0,0.0,0.0,0.2307692307692307,4.5,0.5,0.7777777777777778,7.0,0.7142857142857143,2.0,True
4.0,0.0,5.0,0.0,4.0,0.2307692307692307,2.5,0.5,0.8,4.0,0.7362637362637363,2.0,True
3.5,0.5,4.5,0.5,17.0,0.2307692307692307,3.5,0.5,0.8571428571428571,6.0,0.7362637362637363,2.0,True
3.0,0.0,5.0,0.0,,0.2307692307692307,3.0,0.0,1.0,3.0,0.7142857142857143,1.0,True
3.0,1.0,4.5,0.5,19.0,0.1153846153846153,2.5,1.5,1.0,5.0,0.7472527472527473,2.0,True
3.0,0.5714285714285714,4.78021978021978,0.3139717425431711,8.571428571428571,0.2307692307692308,3.857142857142857,0.4897959183673469,0.5925925925925926,16.0,0.7472527472527473,7.0,True
3.5,0.5,4.5,0.5,15.0,0.2307692307692307,3.0,2.0,1.0,6.0,0.7252747252747253,2.0,True
3.571428571428572,0.6122448979591836,4.494505494505495,0.4332810047095761,15.61904761904762,0.1978021978021978,2.857142857142857,1.0612244897959182,0.65,13.0,0.7692307692307693,7.0,True
3.4,0.72,4.692307692307692,0.3692307692307693,11.2,0.2307692307692307,2.4,1.28,0.75,9.0,0.7472527472527473,5.0,True
3.75,0.375,4.75,0.375,8.833333333333334,0.2307692307692307,2.75,0.75,0.6363636363636364,7.0,0.7362637362637363,4.0,True
2.75,0.875,4.480769230769231,0.2596153846153846,14.166666666666666,0.2307692307692307,3.25,1.25,0.9230769230769232,12.0,0.7472527472527473,4.0,True
3.0,0.8888888888888888,4.666666666666667,0.4444444444444443,10.88888888888889,0.2051282051282051,3.333333333333333,0.9629629629629628,0.4333333333333333,13.0,0.7472527472527473,9.0,True
2.857142857142857,1.0612244897959182,4.417582417582418,0.3579277864992151,14.285714285714286,0.2307692307692308,3.4285714285714284,1.5102040816326532,0.625,15.0,0.7472527472527473,7.0,True
3.0,1.0,4.730769230769231,0.2692307692307691,11.0,0.2307692307692307,3.0,2.0,1.0,6.0,0.7362637362637363,2.0,True
2.2,1.2399999999999998,4.8,0.3200000000000001,7.866666666666666,0.2076923076923077,2.8,1.4,0.4642857142857143,13.0,0.7472527472527473,10.0,True
