mean_RCQ,mean_error_RCQ,mean_WWD,mean_error_WWD,mean_RD,mean_WSP,mean_SQ,mean_error_SQ,skill_diversity,skill_coverage,day_coverage,size,control
3.3333333333333335,0.4444444444444445,5.0,0.0,4.0,0.15384615384615385,4.666666666666667,0.44444444444444436,0.8571428571428571,12,0.7472527472527473,3,False
3.0,0.6666666666666666,4.641025641025641,0.23931623931623935,9.333333333333334,0.23076923076923075,3.0,0.6666666666666666,0.7777777777777778,7,0.7362637362637363,3,False
3.0,1.0,4.615384615384615,0.3846153846153846,12.666666666666666,0.23076923076923078,2.75,0.75,0.9090909090909091,10,0.7472527472527473,4,False
3.75,0.375,4.615384615384615,0.3846153846153846,13.0,0.23076923076923078,3.5,1.5,0.8571428571428571,12,0.7472527472527473,4,False
3.0,0.0,4.5,0.5,15.0,0.23076923076923078,1.5,0.5,1.0,3,0.7252747252747253,2,False
4.0,0.0,5.0,0.0,6.0,0.11538461538461539,5.0,0.0,0.8,8,0.7472527472527473,2,False
3.3333333333333335,0.8888888888888888,4.487179487179487,0.34188034188034183,14.666666666666666,0.23076923076923075,3.0,1.3333333333333333,0.8888888888888888,8,0.7362637362637363,3,False
3.5,0.5,5.0,0.0,6.0,0.11538461538461539,3.0,1.0,1.0,6,0.7472527472527473,2,False
3.6666666666666665,0.4444444444444445,5.0,0.0,0.0,0.23076923076923075,2.0,1.3333333333333333,0.6666666666666666,4,0.7142857142857143,3,False
3.8,0.3200000000000001,4.6,0.4800000000000001,11.6,0.23076923076923078,2.6,1.52,0.6923076923076923,9,0.7472527472527473,5,False
3.6,0.48,4.692307692307692,0.36923076923076936,11.4,0.23076923076923078,3.2,1.04,0.6875,11,0.7472527472527473,5,False
4.0,0.0,4.230769230769231,0.23076923076923084,16.0,0.23076923076923078,3.0,2.0,1.0,6,0.6923076923076923,2,False
4.0,0.0,4.5,0.5,15.0,0.23076923076923078,3.25,1.25,0.8461538461538461,11,0.7362637362637363,4,False
4.0,0.0,5.0,0.0,,0.23076923076923078,1.0,0.0,1.0,1,0.7142857142857143,1,False
2.0,0.0,4.461538461538462,0.0,,0.23076923076923078,2.0,0.0,1.0,2,0.6373626373626373,1,False
3.4,0.9600000000000002,5.0,0.0,4.2,0.23076923076923078,3.0,0.4,0.6,9,0.7472527472527473,5,False
3.25,0.75,4.75,0.375,11.833333333333334,0.17307692307692307,2.75,0.75,0.9090909090909091,10,0.7472527472527473,4,False
3.6666666666666665,0.4444444444444445,5.0,0.0,2.6666666666666665,0.23076923076923075,2.0,0.0,1.0,6,0.7362637362637363,3,False
4.0,0.0,4.230769230769231,0.23076923076923084,18.0,0.23076923076923078,3.5,1.5,1.0,7,0.7032967032967034,2,False
3.5,0.5,5.0,0.0,2.0,0.23076923076923078,4.0,0.0,1.0,8,0.7252747252747253,2,False
3.0,0.8888888888888888,4.829059829059829,0.2659069325735994,7.777777777777778,0.23076923076923078,3.4444444444444446,0.6172839506172839,0.4838709677419355,15,0.7472527472527473,9,False
4.0,0.0,4.461538461538462,0.0,,0.23076923076923078,3.0,0.0,1.0,3,0.6373626373626373,1,False
3.0,0.6666666666666666,5.0,0.0,2.0,0.23076923076923075,2.0,1.3333333333333333,0.8333333333333334,5,0.7252747252747253,3,False
4.0,0.0,4.865384615384615,0.2019230769230771,7.5,0.23076923076923078,4.0,1.0,0.625,10,0.7472527472527473,4,False
3.0,1.0,4.615384615384615,0.3846153846153846,13.666666666666666,0.23076923076923078,2.5,1.25,0.9,9,0.7472527472527473,4,False
4.0,0.0,4.82051282051282,0.23931623931623935,8.666666666666666,0.23076923076923075,2.0,0.6666666666666666,1.0,6,0.7472527472527473,3,False
3.3333333333333335,0.4444444444444445,4.666666666666667,0.44444444444444436,11.333333333333334,0.23076923076923075,2.6666666666666665,0.8888888888888888,0.75,6,0.7362637362637363,3,False
4.0,0.0,4.730769230769231,0.26923076923076916,9.0,0.23076923076923078,3.0,2.0,1.0,6,0.7252747252747253,2,False
3.1666666666666665,0.8333333333333334,5.0,0.0,1.8666666666666667,0.2307692307692308,2.6666666666666665,1.1111111111111114,0.5625,9,0.7362637362637363,6,False
3.1666666666666665,0.8333333333333334,4.5,0.5,13.266666666666667,0.2307692307692308,3.6666666666666665,0.777777777777778,0.6363636363636364,14,0.7362637362637363,6,False
3.6666666666666665,0.4444444444444445,5.0,0.0,4.666666666666667,0.15384615384615385,2.6666666666666665,1.5555555555555554,0.875,7,0.7472527472527473,3,False
4.0,0.0,4.82051282051282,0.23931623931623935,7.333333333333333,0.23076923076923075,4.0,1.3333333333333333,0.75,9,0.7362637362637363,3,False
3.5,0.5,4.487179487179486,0.34188034188034155,13.866666666666667,0.2307692307692308,3.3333333333333335,1.222222222222222,0.6,12,0.7472527472527473,6,False
3.5,0.5,5.0,0.0,6.0,0.11538461538461539,4.5,0.5,0.8888888888888888,8,0.7472527472527473,2,False
