mean_RCQ,mean_RD,mean_WSP,mean_SQ,skill_diversity,skill_coverage,quantity_of_fav_rotas,control,size
4.0,23.0,0.2692307692307693,3.5,1.0,7,1,False,2
3.25,13.666666666666666,0.2692307692307692,3.0,0.8333333333333334,10,2,False,4
3.5,18.964285714285715,0.22115384615384617,3.125,0.44,11,4,False,8
3.3333333333333335,19.333333333333332,0.35897435897435903,1.6666666666666667,1.0,5,2,False,3
3.75,20.0,0.23076923076923078,2.75,0.8181818181818182,9,1,False,4
3.0,25.0,0.38461538461538464,3.5,0.8571428571428571,6,0,False,2
3.6666666666666665,9.333333333333334,0.38461538461538464,4.0,0.75,9,1,False,3
3.3333333333333335,22.0,0.3333333333333333,3.3333333333333335,1.0,10,1,False,3
3.1666666666666665,18.8,0.32051282051282054,2.1666666666666665,0.8461538461538461,11,3,False,6
3.3333333333333335,18.066666666666666,0.28205128205128205,2.6666666666666665,0.625,10,2,False,6
3.1666666666666665,17.066666666666666,0.24358974358974358,2.3333333333333335,0.7142857142857143,10,2,False,6
3.8,21.2,0.38461538461538464,2.4,0.6666666666666666,8,0,False,5
3.5,24.066666666666666,0.3205128205128205,1.3333333333333333,0.75,6,3,False,6
3.6,14.8,0.3076923076923077,3.4,0.5882352941176471,10,1,False,5
4.0,26.0,0.38461538461538464,2.0,1.0,4,0,False,2
3.75,20.833333333333332,0.3076923076923077,3.0,0.8333333333333334,10,1,False,4
3.0,24.866666666666667,0.3076923076923077,3.3333333333333335,0.5,10,4,False,6
3.5,28.0,0.3076923076923077,3.0,0.8333333333333334,10,2,False,4
2.857142857142857,21.61904761904762,0.27472527472527475,1.8571428571428572,0.6923076923076923,9,4,False,7
3.3333333333333335,21.38888888888889,0.2991452991452992,2.5555555555555554,0.4782608695652174,11,5,False,9
3.0,18.8,0.2307692307692308,3.0,0.6666666666666666,12,4,False,6
3.6666666666666665,24.0,0.10256410256410257,2.0,0.8333333333333334,5,2,False,3
3.2,21.4,0.23076923076923078,2.2,0.7272727272727273,8,4,False,5
3.3,22.711111111111112,0.3230769230769231,2.0,0.55,11,5,False,10
3.3333333333333335,22.0,0.35897435897435903,3.0,0.7777777777777778,7,1,False,3
3.75,25.666666666666668,0.3076923076923077,3.0,0.8333333333333334,10,3,False,4
3.5,22.0,0.2692307692307693,3.0,0.8333333333333334,5,0,False,2
3.0,19.333333333333332,0.38461538461538464,2.3333333333333335,1.0,7,1,False,3
3.0,20.6,0.35384615384615387,3.6,0.7222222222222222,13,2,False,5
3.0,26.0,0.34615384615384615,3.5,0.8571428571428571,6,2,False,2
3.25,26.0,0.3076923076923077,3.25,0.8461538461538461,11,0,False,4
4.0,16.666666666666668,0.21153846153846156,3.25,0.7692307692307693,10,2,False,4
3.3333333333333335,26.0,0.3333333333333333,2.6666666666666665,0.875,7,3,False,3
2.857142857142857,15.523809523809524,0.2307692307692308,2.857142857142857,0.55,11,4,False,7
3.5,13.733333333333333,0.3717948717948718,3.5,0.6190476190476191,13,4,False,6
4.0,25.0,0.38461538461538464,2.5,1.0,5,1,False,2
4.0,21.333333333333332,0.38461538461538464,2.3333333333333335,0.8571428571428571,6,1,False,3
3.2857142857142856,19.523809523809526,0.30769230769230776,4.0,0.5,14,3,False,7
3.3333333333333335,20.666666666666668,0.4102564102564103,3.6666666666666665,1.0,11,2,False,3
3.111111111111111,16.61111111111111,0.3162393162393162,2.888888888888889,0.5384615384615384,14,6,False,9
4.0,20.0,0.2692307692307692,2.75,0.8181818181818182,9,1,False,4
3.5,18.5,0.34615384615384615,3.5,0.42857142857142855,12,4,False,8
3.6,15.2,0.35384615384615387,3.2,0.75,12,1,False,5
4.0,,0.23076923076923078,5.0,1.0,5,1,False,1
4.0,,0.38461538461538464,5.0,1.0,5,0,False,1
3.75,18.5,0.38461538461538464,3.75,0.8,12,1,False,4
3.2857142857142856,20.0,0.23076923076923078,2.857142857142857,0.6,12,6,False,7
3.0,20.833333333333332,0.23076923076923078,3.5,0.7142857142857143,10,1,False,4
3.0,22.0,0.15384615384615385,2.0,0.75,3,1,False,2
3.25,23.666666666666668,0.2692307692307693,2.25,0.7777777777777778,7,1,False,4
3.7142857142857144,19.238095238095237,0.3516483516483517,3.142857142857143,0.6818181818181818,15,2,False,7
3.75,17.333333333333332,0.36538461538461536,3.25,0.7692307692307693,10,3,False,4
3.25,19.333333333333332,0.3269230769230769,3.5,0.6428571428571429,9,1,False,4
3.5,21.5,0.2692307692307693,3.0,0.75,9,2,False,4
3.8,15.8,0.26153846153846155,3.2,0.625,10,1,False,5
4.0,18.0,0.3076923076923077,2.3333333333333335,0.8571428571428571,6,1,False,3
3.0,20.166666666666668,0.25,3.25,0.9230769230769231,12,1,False,4
3.0,17.61904761904762,0.3296703296703297,2.5714285714285716,0.6111111111111112,11,4,False,7
3.4285714285714284,23.238095238095237,0.3406593406593406,2.7142857142857144,0.5789473684210527,11,2,False,7
2.875,15.75,0.27884615384615385,2.75,0.5454545454545454,12,3,False,8
4.0,17.833333333333332,0.25000000000000006,1.25,1.0,5,2,False,4
3.3333333333333335,15.333333333333334,0.2820512820512821,3.6666666666666665,0.8181818181818182,9,2,False,3
3.375,22.321428571428573,0.34615384615384615,3.125,0.52,13,3,False,8
3.3333333333333335,24.0,0.3076923076923077,2.0,0.8333333333333334,5,2,False,3
3.6,15.8,0.36923076923076925,2.0,0.8,8,2,False,5
3.6666666666666665,20.866666666666667,0.3846153846153846,3.6666666666666665,0.5909090909090909,13,1,False,6
3.5,18.333333333333332,0.2948717948717949,2.6666666666666665,0.6875,11,3,False,6
3.25,20.333333333333332,0.34615384615384615,2.5,1.0,10,3,False,4
3.3333333333333335,16.666666666666668,0.2820512820512821,2.6666666666666665,0.875,7,3,False,3
3.5,11.833333333333334,0.3076923076923077,3.25,0.9230769230769231,12,1,False,4
3.3333333333333335,17.333333333333332,0.28205128205128205,2.5,0.6666666666666666,10,4,False,6
3.8333333333333335,19.2,0.3461538461538461,3.0,0.7222222222222222,13,1,False,6
3.4,24.0,0.26153846153846155,2.4,0.75,9,2,False,5
3.6,20.8,0.35384615384615387,2.0,0.7,7,2,False,5
3.3333333333333335,27.333333333333332,0.3076923076923077,3.0,0.7777777777777778,7,1,False,3
3.2,19.6,0.3230769230769231,3.6,0.7222222222222222,13,2,False,5
3.3333333333333335,21.133333333333333,0.32051282051282054,3.0,0.6111111111111112,11,2,False,6
3.0,29.0,0.38461538461538464,1.5,1.0,3,1,False,2
3.75,13.5,0.3076923076923077,3.0,0.8333333333333334,10,1,False,4
3.5,18.0,0.15384615384615385,3.5,0.8571428571428571,6,0,False,2
3.25,17.833333333333332,0.3076923076923077,3.75,0.8666666666666667,13,1,False,4
4.0,,0.38461538461538464,3.0,1.0,3,0,False,1
3.25,23.5,0.3653846153846154,2.25,0.7777777777777778,7,3,False,4
3.0,26.666666666666668,0.34615384615384615,2.0,0.5,4,3,False,4
3.1666666666666665,23.266666666666666,0.28205128205128205,3.3333333333333335,0.55,11,3,False,6
3.0,15.333333333333334,0.23076923076923075,3.3333333333333335,0.9,9,2,False,3
3.0,24.166666666666668,0.23076923076923078,1.5,0.8333333333333334,5,1,False,4
3.0,11.333333333333334,0.4102564102564103,3.0,1.0,9,2,False,3
3.25,19.666666666666668,0.3461538461538462,2.5,0.7,7,2,False,4
3.6666666666666665,19.4,0.35897435897435903,2.6666666666666665,0.6875,11,2,False,6
3.8,18.4,0.24615384615384617,2.2,0.9090909090909091,10,1,False,5
4.0,25.333333333333332,0.3333333333333333,4.333333333333333,0.6923076923076923,9,2,False,3
3.4285714285714284,17.904761904761905,0.37362637362637363,3.5714285714285716,0.44,11,4,False,7
4.0,19.0,0.23076923076923078,2.0,1.0,4,0,False,2
2.6666666666666665,18.666666666666668,0.20512820512820515,1.6666666666666667,1.0,5,2,False,3
3.25,17.285714285714285,0.326923076923077,2.625,0.5714285714285714,12,5,False,8
3.6666666666666665,26.0,0.358974358974359,2.6666666666666665,0.875,7,2,False,3
2.9,18.133333333333333,0.31538461538461543,2.9,0.5172413793103449,15,3,False,10
3.3333333333333335,13.533333333333333,0.20512820512820515,3.0,0.6111111111111112,11,1,False,6
3.8,17.0,0.3230769230769231,2.6,0.8461538461538461,11,1,False,5
3.25,23.833333333333332,0.3269230769230769,2.75,0.7272727272727273,8,2,False,4
3.1666666666666665,22.6,0.3076923076923077,2.5,0.6666666666666666,10,4,False,6
2.6666666666666665,26.0,0.3333333333333333,2.0,0.8333333333333334,5,3,False,3
3.4,21.0,0.3076923076923077,3.2,0.6875,11,4,False,5
3.1666666666666665,15.333333333333334,0.21794871794871795,2.3333333333333335,0.7142857142857143,10,3,False,6
2.6666666666666665,24.666666666666668,0.23076923076923075,2.6666666666666665,1.0,8,2,False,3
4.0,16.2,0.3538461538461538,2.6,0.7692307692307693,10,1,False,5
3.0,21.133333333333333,0.3333333333333333,2.1666666666666665,0.6153846153846154,8,4,False,6
2.7142857142857144,16.761904761904763,0.29670329670329665,2.2857142857142856,0.6875,11,5,False,7
4.0,28.0,0.3076923076923077,1.5,1.0,3,2,False,2
3.4285714285714284,22.952380952380953,0.30769230769230776,2.4285714285714284,0.5294117647058824,9,4,False,7
2.5555555555555554,21.166666666666668,0.23931623931623935,2.5555555555555554,0.6086956521739131,14,5,False,9
4.0,16.666666666666668,0.4102564102564103,3.6666666666666665,0.9090909090909091,10,0,False,3
3.8,22.6,0.3384615384615385,3.8,0.5789473684210527,11,3,False,5
2.875,20.214285714285715,0.3269230769230769,3.0,0.5,12,5,False,8
3.25,28.666666666666668,0.2884615384615385,2.25,0.7777777777777778,7,1,False,4
3.0,18.666666666666668,0.3333333333333333,3.0,0.6666666666666666,6,1,False,3
4.0,13.6,0.23076923076923078,3.0,0.6666666666666666,10,1,False,5
3.6666666666666665,20.0,0.25641025641025644,1.3333333333333333,0.75,3,2,False,3
3.3333333333333335,24.8,0.358974358974359,3.6666666666666665,0.5909090909090909,13,2,False,6
3.6666666666666665,17.6,0.25641025641025644,2.0,0.6666666666666666,8,2,False,6
3.0,18.38095238095238,0.24175824175824176,2.2857142857142856,0.75,12,5,False,7
2.3333333333333335,30.666666666666668,0.38461538461538464,1.3333333333333333,1.0,4,2,False,3
2.0,,0.38461538461538464,5.0,1.0,5,1,False,1
4.0,23.333333333333332,0.3333333333333333,3.3333333333333335,0.9,9,2,False,3
2.4166666666666665,18.454545454545453,0.2884615384615385,2.8333333333333335,0.38235294117647056,13,8,False,12
3.5,20.0,0.2692307692307693,2.0,1.0,4,0,False,2
2.857142857142857,19.142857142857142,0.27472527472527475,3.142857142857143,0.5454545454545454,12,4,False,7
2.888888888888889,19.11111111111111,0.29059829059829057,2.7777777777777777,0.48,12,6,False,9
3.5,9.0,0.3076923076923077,4.0,0.625,5,2,False,2
3.75,20.166666666666668,0.3076923076923077,3.75,0.7333333333333333,11,2,False,4
3.0,22.333333333333332,0.3461538461538462,3.0,0.75,9,3,False,4
3.5,18.466666666666665,0.25641025641025644,2.1666666666666665,0.6153846153846154,8,3,False,6
3.4,23.6,0.27692307692307694,2.2,0.6363636363636364,7,2,False,5
4.0,24.0,0.38461538461538464,3.5,0.7142857142857143,5,0,False,2
3.3333333333333335,21.733333333333334,0.21794871794871795,2.1666666666666665,0.6153846153846154,8,3,False,6
3.3333333333333335,22.8,0.3717948717948718,3.3333333333333335,0.8,16,2,False,6
4.0,,0.3076923076923077,3.0,1.0,3,1,False,1
3.3333333333333335,26.2,0.30769230769230765,2.6666666666666665,0.625,10,2,False,6
3.0,15.333333333333334,0.12820512820512822,3.0,1.0,9,1,False,3
3.5,22.0,0.326923076923077,1.75,0.8571428571428571,6,2,False,4
