mean_RCQ,mean_error_RCQ,mean_WWD,mean_error_WWD,mean_RD,mean_WSP,mean_SQ,mean_error_SQ,skill_diversity,skill_coverage,day_coverage,size,control
3.5,0.5,4.730769230769231,0.26923076923076916,13.0,0.23076923076923078,4.5,0.5,0.6666666666666666,6,0.7472527472527473,2,False
3.5,0.5,5.0,0.0,4.0,0.23076923076923078,4.0,0.0,0.875,7,0.7362637362637363,2,False
3.75,0.375,4.615384615384615,0.3846153846153846,13.666666666666666,0.11538461538461539,3.0,0.5,0.8333333333333334,10,0.7472527472527473,4,False
3.5714285714285716,0.6122448979591836,4.769230769230768,0.2637362637362638,8.571428571428571,0.2307692307692308,3.7142857142857144,1.2653061224489797,0.5769230769230769,15,0.7472527472527473,7,False
3.5,0.5,5.0,0.0,2.0,0.23076923076923078,3.5,0.5,1.0,7,0.7252747252747253,2,False
3.5,0.5,4.730769230769231,0.26923076923076916,13.0,0.23076923076923078,4.0,0.0,0.875,7,0.7472527472527473,2,False
3.75,0.375,4.865384615384615,0.2019230769230771,7.166666666666667,0.23076923076923078,3.5,1.0,0.5714285714285714,8,0.7472527472527473,4,False
3.5,0.5,4.230769230769231,0.23076923076923084,24.0,0.11538461538461539,3.5,1.5,0.8571428571428571,6,0.7362637362637363,2,False
3.5,0.5,4.730769230769231,0.26923076923076916,11.0,0.23076923076923078,2.5,0.5,0.8,4,0.7362637362637363,2,False
3.0,0.6666666666666666,4.82051282051282,0.23931623931623935,8.666666666666666,0.23076923076923075,2.6666666666666665,1.1111111111111112,0.875,7,0.7472527472527473,3,False
3.5,0.5,4.865384615384615,0.2019230769230771,11.5,0.23076923076923078,2.5,0.5,0.8,8,0.7802197802197802,4,False
3.5,0.5,5.0,0.0,6.0,0.11538461538461539,4.5,0.5,0.6666666666666666,6,0.7472527472527473,2,False
3.6666666666666665,0.4444444444444445,4.82051282051282,0.23931623931623935,13.333333333333334,0.23076923076923075,3.0,0.6666666666666666,0.7777777777777778,7,0.7802197802197802,3,False
3.6666666666666665,0.4444444444444445,4.82051282051282,0.23931623931623935,8.666666666666666,0.23076923076923075,3.6666666666666665,1.1111111111111112,0.8181818181818182,9,0.7472527472527473,3,False
3.8,0.3200000000000001,5.0,0.0,3.2,0.18461538461538463,4.2,0.3200000000000001,0.6190476190476191,13,0.7472527472527473,5,False
4.0,0.0,4.461538461538462,0.0,6.0,0.23076923076923078,3.0,1.0,0.8333333333333334,5,0.6703296703296703,2,False
3.3333333333333335,0.4444444444444445,4.487179487179487,0.34188034188034183,17.333333333333332,0.15384615384615385,2.0,0.0,0.8333333333333334,5,0.7472527472527473,3,False
4.0,0.0,5.0,0.0,9.333333333333334,0.23076923076923075,3.3333333333333335,1.1111111111111112,0.9,9,0.7802197802197802,3,False
4.0,0.0,4.730769230769231,0.26923076923076916,13.0,0.23076923076923078,4.5,0.5,0.7777777777777778,7,0.7472527472527473,2,False
3.5,0.5,5.0,0.0,1.6666666666666667,0.23076923076923078,3.0,0.5,0.75,9,0.7252747252747253,4,False
4.0,0.0,4.75,0.375,14.166666666666666,0.17307692307692307,3.0,1.0,0.8333333333333334,10,0.7802197802197802,4,False
3.6,0.48,4.7846153846153845,0.2584615384615384,13.2,0.23076923076923078,4.2,0.64,0.5714285714285714,12,0.7802197802197802,5,False
3.0,0.6666666666666666,4.487179487179487,0.34188034188034183,17.333333333333332,0.15384615384615385,2.3333333333333335,1.1111111111111112,0.7142857142857143,5,0.7472527472527473,3,False
3.75,0.375,5.0,0.0,2.3333333333333335,0.23076923076923078,3.25,0.75,0.6153846153846154,8,0.7362637362637363,4,False
4.0,0.0,4.82051282051282,0.23931623931623935,10.0,0.15384615384615385,4.0,0.6666666666666666,0.8333333333333334,10,0.7472527472527473,3,False
4.0,0.0,4.82051282051282,0.23931623931623935,12.666666666666666,0.15384615384615385,2.0,1.3333333333333333,1.0,6,0.7802197802197802,3,False
4.0,0.0,4.82051282051282,0.23931623931623935,9.333333333333334,0.23076923076923075,4.333333333333333,0.44444444444444436,0.6153846153846154,8,0.7472527472527473,3,False
3.3333333333333335,0.8888888888888888,4.82051282051282,0.23931623931623935,9.333333333333334,0.23076923076923075,2.3333333333333335,1.1111111111111112,0.7142857142857143,5,0.7472527472527473,3,False
4.0,0.0,4.5,0.5,17.0,0.11538461538461539,4.0,1.0,0.875,7,0.7362637362637363,2,False
3.8,0.3200000000000001,5.0,0.0,2.0,0.23076923076923078,3.8,0.3200000000000001,0.47368421052631576,9,0.7362637362637363,5,False
3.6,0.48,4.892307692307692,0.17230769230769258,9.6,0.18461538461538463,3.6,0.8800000000000001,0.5,9,0.7802197802197802,5,False
3.6666666666666665,0.4444444444444445,5.0,0.0,5.333333333333333,0.15384615384615385,3.0,1.3333333333333333,0.8888888888888888,8,0.7472527472527473,3,False
3.5,0.5,4.730769230769231,0.26923076923076916,9.333333333333334,0.23076923076923078,3.0,1.0,0.9166666666666666,11,0.7472527472527473,4,False
3.75,0.375,4.615384615384615,0.3846153846153846,14.0,0.11538461538461539,4.25,0.75,0.5294117647058824,9,0.7472527472527473,4,False
3.6666666666666665,0.4444444444444445,5.0,0.0,8.0,0.15384615384615385,1.3333333333333333,0.4444444444444444,1.0,4,0.7802197802197802,3,False
3.6666666666666665,0.4444444444444445,4.641025641025641,0.23931623931623935,8.0,0.23076923076923075,3.3333333333333335,0.4444444444444445,0.9,9,0.7252747252747253,3,False
4.0,0.0,4.730769230769231,0.26923076923076916,19.0,0.23076923076923078,3.0,2.0,1.0,6,0.7802197802197802,2,False
